rank,stock_code,composite_score
1,601166.SH,0.89816843794659
2,601668.SH,0.8973615476463115
3,601818.SH,0.8969091008591581
4,000001.SZ,0.8966496491875466
5,601328.SH,0.8968099432838226
6,600000.SH,0.8957434759540666
7,600016.SH,0.895745608946594
8,601390.SH,0.8924478017434405
9,601800.SH,0.8910897587663338
10,601186.SH,0.8900566197710695
11,601669.SH,0.878218315357302
12,601318.SH,0.8751032633863054
13,600018.SH,0.8771812362373151
14,601919.SH,0.8752672214148646
15,601319.SH,0.8712866279066189
16,601211.SH,0.8722932656432549
17,601688.SH,0.8706450518410607
18,600585.SH,0.8693900079683754
19,601117.SH,0.8652542635618071
20,600741.SH,0.8645414865656671
21,601607.SH,0.8646709621142481
22,601766.SH,0.863787589462611
23,601601.SH,0.8604172510474073
24,600019.SH,0.866899166735996
25,600023.SH,0.8632440276856665
26,000776.SZ,0.8594853664403548
27,600050.SH,0.8589422471653803
28,601006.SH,0.8599160821901741
29,001872.SZ,0.8553575304283711
30,000651.SZ,0.8465728504887182
