date,stock_code,action,price,shares,amount,commission,signal_type,exit_reason
2024-03-04,000890.SZ,BUY,3.7637599999999996,26595.744680851065,100099.99999999999,30.029999999999994,reversal,
2024-04-02,000890.SZ,SELL,4.61538,26595.744680851065,122749.46808510639,159.5743085106383,reversal,take_profit
2024-05-06,000600.SZ,BUY,6.73673,14858.841010401187,100099.99999999999,30.029999999999994,momentum,
2024-05-06,001309.SZ,BUY,72.78701429999998,1375.2453093820611,100099.99999999999,30.029999999999994,momentum,
2024-05-10,001309.SZ,SELL,65.0419929,1375.2453093820611,89448.69564858632,116.28330434316221,momentum,stop_loss
2024-05-30,000600.SZ,SELL,6.04395,14858.841010401187,89806.09212481425,116.74791976225853,momentum,stop_loss
2024-07-02,000007.SZ,BUY,5.215209999999999,19193.857965451054,100099.99999999997,30.029999999999987,momentum,
2024-07-30,001309.SZ,BUY,53.274621399999994,1878.9434325290201,100099.99999999999,30.029999999999994,momentum,
2024-08-08,000007.SZ,SELL,4.6353599999999995,19193.857965451054,88970.44145873318,115.66157389635315,momentum,stop_loss
2024-09-06,001309.SZ,SELL,46.760292899999996,1878.9434325290201,87859.94524758836,114.21792882186486,momentum,stop_loss
2024-09-26,000007.SZ,BUY,5.795789999999999,17271.157167530226,100100.0,30.029999999999998,momentum,
2024-10-08,000007.SZ,SELL,7.25274,17271.157167530226,125263.21243523317,162.84217616580312,momentum,take_profit
2024-10-31,000697.SZ,BUY,5.5277221999999995,18108.72478360074,100100.0,30.029999999999998,momentum,
2024-11-28,000833.SZ,BUY,16.074057999999997,6227.425582264292,100099.99999999999,30.029999999999994,momentum,
2024-11-28,001267.SZ,BUY,8.028019999999998,12468.827930174564,100099.99999999999,30.029999999999994,momentum,
2024-12-03,000833.SZ,SELL,19.328651999999998,6227.425582264292,120367.74193548385,156.478064516129,momentum,take_profit
2024-12-11,001267.SZ,SELL,9.76023,12468.827930174564,121698.62842892768,158.20821695760597,momentum,take_profit
2024-12-30,000697.SZ,SELL,5.8290651,18108.72478360074,105556.93564159214,137.22401633406977,momentum,hold_days
2025-01-24,001267.SZ,BUY,9.71971,10298.661174047373,100099.99999999999,30.029999999999994,momentum,
2025-03-03,000833.SZ,BUY,15.043028,6654.245408570668,100099.99999999999,30.029999999999994,momentum,
2025-03-05,000833.SZ,SELL,13.234751999999999,6654.245408570668,88067.28772957146,114.48747404844289,momentum,stop_loss
2025-03-25,001267.SZ,SELL,9.170819999999999,10298.661174047373,94447.16786817712,122.78131822863025,momentum,hold_days
2025-03-31,001267.SZ,BUY,9.129119999999999,10964.912280701756,100100.0,30.029999999999998,momentum,
2025-04-08,001267.SZ,SELL,7.74225,10964.912280701756,84893.09210526317,110.36101973684212,momentum,stop_loss
2025-06-30,000833.SZ,BUY,12.502489999999998,8006.405124099279,100099.99999999999,30.029999999999994,momentum,
2025-08-29,000833.SZ,SELL,13.026959999999999,8006.405124099279,104299.11929543634,135.58885508406723,momentum,hold_days
2025-09-22,001267.SZ,BUY,18.038019999999996,5549.389567147614,100099.99999999999,30.029999999999994,momentum,
2025-09-22,001309.SZ,BUY,155.26511,644.7037586229127,100099.99999999999,30.029999999999994,momentum,
2025-09-30,001309.SZ,SELL,204.48531,644.7037586229127,131832.44794017146,171.38218232222292,momentum,take_profit
2025-10-13,001267.SZ,SELL,15.594389999999999,5549.389567147614,86539.34517203107,112.5011487236404,momentum,stop_loss
2025-10-28,001267.SZ,BUY,21.901879999999995,4570.383912248629,100099.99999999997,30.029999999999987,momentum,
2025-10-30,001267.SZ,SELL,19.57041,4570.383912248629,89444.28702010968,116.27757312614258,momentum,stop_loss
2025-11-25,001309.SZ,BUY,221.28105999999997,452.36587351850176,100099.99999999999,30.029999999999994,momentum,
2025-12-19,001309.SZ,SELL,191.05875,452.36587351850176,86428.45833710305,112.35699583823396,momentum,stop_loss
2026-01-22,000893.SZ,BUY,60.08002,1666.1112962345883,100099.99999999999,30.029999999999994,momentum,
2026-01-22,001309.SZ,BUY,287.57729,348.0803369417661,100099.99999999999,30.029999999999994,momentum,
2026-02-02,000893.SZ,SELL,52.107839999999996,1666.1112962345883,86817.46084638452,112.86269910029988,momentum,stop_loss
2026-02-02,001309.SZ,SELL,248.26148999999998,348.0803369417661,86414.9430888649,112.33942601552435,momentum,stop_loss
2026-02-27,001267.SZ,BUY,30.530499999999996,3278.688524590164,100099.99999999999,30.029999999999994,momentum,
2026-03-05,001267.SZ,SELL,36.92304,3278.688524590164,121059.14754098361,157.37689180327868,momentum,take_profit
